Nitrogen,Phosphorous,Potassium,Temperature,Humidity,Ph,Moisture,Soil_Type,Crop_Type,fertilizer
16.33,47.34,22.39,21.4,52.7,6.97,32.1,Silt Loam,Chickpea,19-19-19
33.81,17.28,20.64,27.5,73.7,6.62,11,Sandy,Jute,20-20-0
14.7,74.95,38.62,22.4,61.9,6.18,34.3,Silt Loam,Soybean,Urea
91.42,41.3,42.68,26.2,75,6.36,32.6,Silt Loam,Rice,15-15-15
61.57,29.1,43.47,30.6,70.6,6.47,26,Silt Loam,Brinjal,15-15-15
78.73,32.16,38.41,29,72.3,6.64,25.5,Silt Loam,Cotton,14-35-14
60.23,28.05,84.97,28.2,53.3,6.11,17.1,Loamy Sand,Grapes,15-15-15
141.95,68.26,75.26,25.8,77.9,6.46,25.5,Loam,Sugarcane,15-15-15
67.08,40.22,39.16,27,51.4,6.1,20.2,Loam,Sorghum,17-17-17
46.61,15.6,18.72,33.4,70.5,7.22,14.3,Loamy Sand,Jute,20-20-0
46.96,22.62,25.76,19.4,66.1,6.42,13.4,Loamy Sand,Barley,20-20-0
20.71,30.32,14.77,32.8,66.8,6.93,23.6,Sandy Loam,Green Gram,20-20-0
207.09,83,73.14,33.5,75.1,6.74,39.8,Clay,Sugarcane,15-15-15
44.81,16.96,39.78,25.9,66.4,6.95,24.5,Sandy Loam,Okra,DAP
45.32,20.35,18.39,28.3,83.5,7.13,18.3,Loamy Sand,Jute,20-20-0
72.45,47.84,52.89,27.5,66.6,6.83,40.3,Clay,Brinjal,15-15-15
47.15,41.65,102.81,21,61.7,6.55,36.1,Clay,Tobacco,15-15-15
44.95,17.97,48.06,29.9,67.5,6.37,23.1,Sandy Loam,Tobacco,DAP
123.99,55.3,111.09,16.7,65.5,6.34,41.4,Clay,Grapes,15-15-15
49.07,31.86,33.93,24.7,51.1,6.12,16.2,Sandy Loam,Chilli,20-20-0
27.54,50.4,30.66,28.7,65.7,6.8,38.4,Clay,Green Gram,Urea
9.9,44.87,10.16,28.9,60.6,7.49,12.6,Loamy Sand,Chickpea,19-19-19
123.03,40.55,43.11,26.3,69.1,6.63,20.8,Sandy Loam,Maize,15-15-15
69.82,41.69,60.97,33.9,69.1,6.43,39.2,Clay,Cotton,15-15-15
88.04,32.83,75.61,24.5,79.5,6.99,27,Loam,Mango,15-15-15
79.71,42.78,53.32,22.4,83.2,7.73,14.6,Sandy,Sugarcane,Urea
120.14,31.49,51.49,30.5,53.3,6.12,46.7,Clay,Sorghum,15-15-15
47.42,38.03,89.14,29.7,76.8,6.76,42,Clay,Tobacco,15-15-15
124.42,44.03,73.13,27.8,80,6.99,43.3,Clay,Maize,15-15-15
101.35,42.34,29.69,29.5,52.6,6.95,31.1,Silt Loam,Sorghum,Muriate of Potash
66.18,25.7,43.92,21.4,73.4,7.28,13.4,Sandy,Citrus,15-15-15
50.87,21.65,29.02,33.8,68.1,6.2,12.2,Loamy Sand,Okra,12-32-16
42.89,28.06,20.69,26.4,50.3,6.35,30.9,Silt Loam,Sesame,Muriate of Potash
115.5,59.64,87.26,26.2,75.7,6.09,44.3,Clay,Citrus,15-15-15
45.71,14.19,22.61,29.9,75.2,7.19,14.9,Sandy,Jute,20-20-0
62.81,37.8,59.09,20.8,61.9,6.19,13.2,Loamy Sand,Tomato,17-17-17
58.26,32.67,66.86,19.7,70,6.17,21.9,Loam,Onion,15-15-15
48.08,26.01,24.19,25.9,72.4,6.46,27.1,Silt Loam,Jute,Muriate of Potash
60.12,33.43,17.37,23,62.6,6.62,14.1,Sandy,Wheat,Muriate of Potash
56.12,48.84,75.07,26.9,69.7,6.54,34.2,Silt Loam,Grapes,15-15-15
64.73,24.96,27.74,15.6,53,6.2,17.5,Loamy Sand,Mustard,12-32-16
151.77,39.51,107.39,16.8,76,5.66,37.4,Clay Loam,Cabbage,15-15-15
72.69,33.72,42.2,27.2,64.7,6.51,15.8,Loamy Sand,Mango,15-15-15
17.43,31.61,16.81,32.4,71.2,6.59,20.6,Sandy Loam,Black Gram,20-20-0
10.83,29.75,12.77,27.4,70,7,14.5,Sandy,Black Gram,20-20-0
91.87,50.56,109.2,28.5,61.3,6.71,30.6,Clay Loam,Tomato,15-15-15
17.54,34.13,26.84,35,77.9,6.36,48.8,Clay,Green Gram,Urea
56.54,27.35,31.18,33.2,64.4,6.3,34.8,Clay Loam,Sesame,DAP
44.44,46.11,40.56,22,64.7,6.53,27.1,Loam,Sunflower,17-17-17
92.29,30.52,38.06,20.3,51,6,31.3,Clay Loam,Mustard,DAP
108.69,31.27,66.41,16.3,80.2,7.14,16.8,Loamy Sand,Cabbage,15-15-15
125.02,50.01,110.68,19.2,84.5,5.69,37.3,Clay Loam,Cauliflower,15-15-15
11.32,20.72,16.03,30.7,76.8,6.21,18.4,Loamy Sand,Green Gram,20-20-0
57.47,25.15,37.45,21.7,60.5,6.36,28.8,Loam,Mustard,DAP
66.64,26.98,38.9,26.6,64.5,7.12,16,Loamy Sand,Brinjal,15-15-15
59.51,22.33,36.94,31.1,69.4,6.68,14.6,Sandy,Brinjal,Single Super Phosphate
14.42,25.07,18.82,31.2,70.7,6.89,22.9,Sandy Loam,Pigeonpea,20-20-0
10.64,25.47,13.76,20.3,61.4,7.64,14.1,Sandy,Chickpea,20-20-0
104.96,33.72,53.15,23.3,77.9,6.7,31.5,Clay Loam,Rice,15-15-15
40.8,25.47,24.41,31.9,60.9,6.25,23.5,Loam,Sesame,Muriate of Potash
27.39,57.75,41.38,29.6,78.9,5.73,35.9,Clay Loam,Groundnut,Urea
74.68,19.9,68.5,31.2,71.3,7.04,19.4,Loamy Sand,Citrus,DAP
19,56.47,25.54,21,64.7,6.9,48.9,Clay,Lentil,Urea
55.29,38.73,57.76,15.6,83.8,7.8,11.6,Sandy,Cabbage,17-17-17
22.55,39.57,21.63,23.6,50.1,6,41,Clay,Lentil,19-19-19
70.11,25.42,38.14,29.4,66.8,6.34,15.6,Loamy Sand,Brinjal,15-15-15
53.18,32.97,31.39,34.1,77.2,6.37,36.3,Clay Loam,Jute,17-17-17
76.87,22.59,71.49,24.9,68.3,6.13,20,Loamy Sand,Mango,Single Super Phosphate
190.3,53.3,110.4,23.1,83,5.81,37.9,Clay,Sugarcane,15-15-15
58.99,41.56,29.58,27.8,59.1,6.52,29.4,Silt Loam,Sunflower,Muriate of Potash
56.97,26.17,71.21,28.6,78.9,6.06,32.7,Clay Loam,Tobacco,15-15-15
52.93,17.52,19.45,22.2,63.2,6.04,13.8,Loamy Sand,Mustard,12-32-16
158.85,42.71,73.2,19,72.7,6.48,38.6,Clay,Cauliflower,15-15-15
67.67,45.33,38.83,23.3,57.9,6.67,17,Sandy Loam,Wheat,17-17-17
118.83,33.97,90.16,19.2,50.5,5.77,43.7,Clay,Grapes,15-15-15
86.49,33.33,50.69,25.6,67.6,6.89,14.1,Loamy Sand,Mango,15-15-15
75.65,36.09,33.66,27.9,69,6.76,26.4,Silt Loam,Sorghum,15-15-15
21.83,54.42,25.96,29.3,60.4,5.9,35.4,Clay Loam,Black Gram,Urea
30.77,18.81,28.82,29.8,60.5,6.76,9.9,Sandy,Sunflower,DAP
27.47,42.39,46.02,27.7,71.1,6.48,38.3,Clay Loam,Groundnut,Urea
84.79,39.11,99.2,19.4,79,6.6,31.7,Silt Loam,Cabbage,15-15-15
17.48,26.64,13.02,30.2,60.9,6.25,17.9,Loamy Sand,Pigeonpea,20-20-0
63.71,25.42,28.01,27.9,77.1,6.72,28,Silt Loam,Jute,Muriate of Potash
130.1,60.4,69.42,26.8,64.3,5.55,32.6,Clay Loam,Maize,15-15-15
78.93,44.9,47.61,22,75.4,6.11,20.8,Loam,Maize,Urea
89.76,40.07,46.12,23.7,81.4,7.7,12.9,Sandy,Sugarcane,Urea
115.96,40.33,66.44,31,62.7,6.93,34.5,Clay Loam,Citrus,15-15-15
36.91,27.53,25.64,33.1,63.2,6.69,28.5,Loam,Sesame,Muriate of Potash
55.64,23.32,54.29,31.4,60.6,7.06,19.4,Loamy Sand,Brinjal,Single Super Phosphate
87.42,43.73,40.34,18.5,74.5,7.39,19.8,Loamy Sand,Cabbage,15-15-15
118.14,60.86,96.54,16.6,82.4,6.04,31,Silt Loam,Cabbage,15-15-15
83.41,33.58,50.3,22.1,74.5,6.07,23.2,Loam,Maize,Urea
158.55,48.13,77.44,33.3,77.3,6.23,20.2,Loam,Sugarcane,15-15-15
9.98,34.29,14.24,34.4,76,7.5,14.8,Loamy Sand,Black Gram,20-20-0
56.47,23.71,51.67,30.5,79.7,7.65,10.9,Sandy,Citrus,Single Super Phosphate
20.57,30.36,13.79,28.5,65.7,6.3,22.3,Loam,Pigeonpea,20-20-0
59.82,17.45,27.56,25.9,61.9,7.93,13.6,Sandy,Brinjal,DAP
67.4,36.1,34.45,31,68.1,6.99,22.4,Sandy Loam,Sorghum,17-17-17
45.17,28.86,20.12,20.3,52.4,6.05,18.8,Sandy Loam,Barley,Muriate of Potash
15.29,28.7,14.17,31.3,64.3,7.28,12.2,Sandy,Green Gram,20-20-0
128.42,60.55,79.58,34.9,82.9,6.46,31.2,Silt Loam,Sugarcane,15-15-15
129.77,59.37,291.86,26.9,75.9,5.91,42.2,Clay,Banana,15-15-15
87.21,21.64,26.92,29.2,74.7,6.92,9.8,Sandy,Maize,12-32-16
18.14,39.9,11.98,22.2,63.7,6.08,23.5,Sandy Loam,Chickpea,19-19-19
19.77,47.5,23.9,20.4,63.6,6.57,27.7,Silt Loam,Lentil,19-19-19
19.53,33.89,12.71,21.6,56.7,6.24,24.3,Sandy Loam,Chickpea,20-20-0
80.6,29.29,44.24,21.6,59.3,6.82,35.1,Clay,Barley,15-15-15
22.92,39.82,47.63,33.3,70.1,6.01,27.9,Silt Loam,Groundnut,Urea
82.48,30.21,23.96,21.3,60.8,6.78,16.1,Sandy Loam,Mustard,Muriate of Potash
122.97,61.33,86.89,27.6,78.6,5.65,49.1,Clay,Citrus,15-15-15
53.27,16.8,24.41,19.1,59.5,6.09,12.6,Loamy Sand,Barley,12-32-16
45.29,23.22,54.18,26.5,71.9,6.58,12.5,Loamy Sand,Tobacco,Single Super Phosphate
81.23,52.42,37.47,22,73.2,6.2,39.4,Clay Loam,Rice,15-15-15
145.5,50.81,59.78,21.6,76.8,6.77,27.3,Silt Loam,Maize,15-15-15
19.53,51.12,23,32.3,78.2,6.86,24.6,Sandy Loam,Groundnut,19-19-19
34.75,15.97,16.06,32.2,84.9,6.8,14.1,Sandy,Jute,20-20-0
112.07,44.23,73.87,15.8,73.1,6.09,21.5,Loam,Cauliflower,15-15-15
67.2,23.45,51.84,27.9,78.2,6.95,31.9,Clay Loam,Okra,Single Super Phosphate
16.82,15.88,15.97,27.5,61.2,6.84,9.1,Sandy,Sesame,20-20-0
78.81,46.38,63.36,24.8,62.2,6.2,36.8,Clay Loam,Onion,15-15-15
70.67,37.39,96.29,27.6,79.1,6.86,37.2,Clay Loam,Tobacco,15-15-15
30.43,23.26,14.14,30,82.4,7.55,11.9,Sandy,Jute,20-20-0
33.46,27.55,88.53,20.8,76.5,6.36,23.2,Loam,Tobacco,28-28-0
19.69,66.95,28.63,20.4,63.4,6.93,36.9,Clay,Chickpea,Urea
69.75,35.31,46.98,28,78.7,6.92,36.3,Clay Loam,Okra,17-17-17
117.41,65.38,144.74,20.5,79,6.68,34.8,Clay Loam,Potato,15-15-15
38.32,23.12,68.09,26.9,63,7.22,12.3,Sandy,Grapes,28-28-0
70.71,41.28,44.03,29.3,70.9,5.74,35.3,Clay,Jute,15-15-15
59.36,33.84,32.87,25.8,78.1,5.83,34.2,Clay Loam,Jute,17-17-17
28.9,12.07,19.15,29.2,66.9,7.44,13.1,Sandy,Sesame,20-20-0
90.26,36.94,72.6,27.1,60.6,6.4,26.1,Loam,Citrus,15-15-15
32.92,19.13,22.67,27.8,57.2,6.58,15.7,Loamy Sand,Sesame,20-20-0
100.98,69.94,113.18,26,69.5,6.06,42.7,Clay,Tomato,15-15-15
59.32,33.68,26.55,29.1,61.9,6.58,31.6,Silt Loam,Sorghum,Muriate of Potash
24.01,39.04,20.67,33.6,60.2,6.38,36,Clay Loam,Pigeonpea,19-19-19
50.53,25.22,36.91,16.4,56.6,6.45,31.7,Silt Loam,Barley,15-15-15
11.64,25.27,15.23,27.5,67.2,7.07,12.2,Sandy,Green Gram,20-20-0
40.8,29.23,28.08,29.5,67.3,6.56,30.4,Silt Loam,Sesame,Muriate of Potash
90.44,32.5,70.45,15.5,79.6,6.34,13.4,Loamy Sand,Potato,Muriate of Potash
45.72,31.52,44.52,29,69.6,6.69,25.2,Silt Loam,Okra,20-20-0
71.9,29.35,35.81,27.2,65.1,6.8,13,Loamy Sand,Brinjal,15-15-15
78.61,50.56,91.18,21.9,63.8,6.73,26.6,Silt Loam,Citrus,15-15-15
25.56,42.66,21.94,29.8,57.5,6.02,27.4,Silt Loam,Chickpea,19-19-19
100.07,34.48,90.62,26.9,63.5,5.82,44.9,Clay,Chilli,14-35-14
104.63,45.46,79.56,26,64.8,6.87,34.9,Silt Loam,Tomato,15-15-15
27.15,20.96,18.37,26.5,65.3,7.89,11.1,Sandy,Sunflower,20-20-0
85.87,31.16,34.2,18.8,55.9,6.97,14.6,Loamy Sand,Wheat,15-15-15
76.74,37.37,33.42,27.5,81.9,6.55,24.4,Loam,Rice,15-15-15
14.73,28.04,15.2,27.6,60,6.81,19.6,Loamy Sand,Chickpea,20-20-0
137.34,65.35,33.68,16.5,60.5,5.87,34.8,Clay Loam,Wheat,15-15-15
28.51,67.85,61.12,25.2,63.9,5.51,44.7,Clay,Groundnut,Urea
101.53,60.3,70.67,29.6,67,5.65,42.3,Clay,Mango,15-15-15
69.67,35.37,47.27,30.4,66.2,6.61,32.2,Silt Loam,Cotton,17-17-17
142.22,46.39,64.7,30.2,68.6,6.53,32.1,Silt Loam,Sugarcane,15-15-15
74.91,25.62,61.33,17.4,82.1,7.33,8.3,Sandy,Cauliflower,15-15-15
30.5,50.93,28.6,33.8,64.6,5.82,44.2,Clay,Black Gram,Muriate of Potash
57.79,29.76,32.83,22.4,65.6,6.91,13.8,Sandy,Chilli,14-35-14
132.06,36.35,103.13,26.7,71.7,5.75,46.1,Clay,Mango,15-15-15
49.8,22.72,17.14,21.4,62.1,7.32,9.6,Sandy,Wheat,20-20-0
84.53,34.93,45.24,16.4,63.9,6.4,29.3,Silt Loam,Mustard,DAP
13.39,31.07,9.32,26,74.5,7.37,9.9,Sandy,Pigeonpea,20-20-0
54.1,38.95,25.68,18.2,54.5,6.35,20.7,Loam,Mustard,Muriate of Potash
99.98,63.73,60.5,28.1,82.6,6.65,25.3,Loam,Sugarcane,Urea
94.48,30.85,181.51,29.9,78.4,7.1,15.7,Loamy Sand,Banana,15-15-15
22.82,63.09,17.71,22.8,54,6.3,31,Clay Loam,Lentil,19-19-19
110.76,43.61,79.12,30,73.9,5.85,41,Clay,Brinjal,15-15-15
28.5,62.18,22.53,23.9,60.4,6.44,30.9,Clay Loam,Lentil,19-19-19
12.78,24.1,9.55,25.6,62.4,6.84,10.4,Sandy,Pigeonpea,20-20-0
18.16,33.74,20.12,33.3,65.6,6.94,33.7,Silt Loam,Green Gram,20-20-0
18.75,41.79,16.64,23.9,60,6.4,20.4,Sandy Loam,Chickpea,19-19-19
53.02,32.62,36.25,21.4,54.2,6.82,18.2,Sandy Loam,Sunflower,DAP
66.55,29.2,44.6,24.9,78.7,6.86,15.8,Loamy Sand,Maize,Urea
76.6,28.21,44.6,30.3,76.4,6.95,28.3,Loam,Rice,15-15-15
46.38,39.48,40.15,22.3,51.6,6.78,26.2,Silt Loam,Sunflower,DAP
126.19,49.03,69.33,29.1,60,6.02,31,Silt Loam,Mango,15-15-15
89.46,41.55,52.16,16.1,77.3,6.75,21.2,Sandy Loam,Cabbage,15-15-15
23,12.04,11.17,32.8,55.3,6.77,12.8,Sandy,Sesame,20-20-0
77.75,30.14,30.23,24.2,73.5,6.66,28.5,Loam,Rice,15-15-15
70.52,33.94,104.87,23.5,70.5,6.22,37.7,Clay,Tobacco,15-15-15
210.92,37.36,171.66,26.3,81.9,6.37,36.8,Clay Loam,Banana,15-15-15
154.28,53.65,115.26,18.1,73,5.6,35.6,Clay,Cauliflower,15-15-15
103.14,52.21,63.97,24,68,6.13,23.6,Sandy Loam,Sugarcane,15-15-15
78.55,42.71,38.46,33.6,67.8,6.96,21.3,Loam,Cotton,15-15-15
113.91,42.67,35.8,24.2,83.6,6.88,13.5,Sandy,Sugarcane,15-15-15
79.78,29.82,62.08,25.4,77.8,6.45,23.8,Sandy Loam,Mango,15-15-15
72.53,34.91,22.84,25.8,64.3,6.07,20.7,Loam,Sorghum,Muriate of Potash
91.72,34.28,43.77,16.5,75.2,7.66,12.6,Sandy,Cauliflower,15-15-15
64.36,24.29,70.16,28.6,65.3,6.02,15.8,Sandy Loam,Mango,Single Super Phosphate
52.64,27.88,51.59,26.3,64.1,6.68,12.3,Sandy,Mango,15-15-15
52.14,21.38,15.23,24.7,66,6.94,14.9,Sandy,Mustard,12-32-16
83.96,45.95,71.22,21.6,61.9,6.34,34.3,Silt Loam,Onion,15-15-15
66.48,28.78,46.25,18.1,84.1,6.86,8.9,Sandy,Cabbage,15-15-15
46.7,42.75,36.39,28.2,87.6,5.89,35.4,Clay Loam,Jute,17-17-17
83.26,64.35,114.89,25.6,62.7,6.05,28.2,Silt Loam,Tomato,15-15-15
55.14,32.76,54.56,16.1,70.3,6.09,24.7,Sandy Loam,Onion,17-17-17
25.29,18.11,18.96,32.6,64.9,6.61,16.1,Sandy Loam,Sesame,20-20-0
90.75,52.32,98.1,17.2,72.4,6.56,33.1,Silt Loam,Cabbage,15-15-15
24.58,52,32.65,28.8,73.2,6.31,32.4,Silt Loam,Soybean,Urea
102.62,46.73,38.86,20.4,60.5,6.77,47.6,Clay,Mustard,15-15-15
8.48,41.39,27.72,26.8,75.1,7.76,11.3,Sandy,Soybean,Urea
46.49,27.94,32.58,32.8,74.3,6.14,31.6,Silt Loam,Jute,20-20-0
67.39,51.44,65.76,22.9,61.4,6.38,42.2,Clay,Onion,15-15-15
47.29,29.34,29.03,20.6,62.1,6.68,23,Sandy Loam,Mustard,Muriate of Potash
86.04,35.96,67.16,16.2,56.7,6.78,27.1,Loam,Grapes,15-15-15
72.75,34.71,70.96,21.6,58.7,6.09,22.2,Loam,Grapes,15-15-15
61.64,35.07,45.36,31.4,68.4,6.64,27.9,Loam,Okra,17-17-17
68.11,43.34,44.65,30.7,71.8,5.78,40.4,Clay,Okra,17-17-17
28.63,17.15,76.74,22.7,70.4,6.3,24.4,Sandy Loam,Tobacco,28-28-0
15.32,39.16,19.28,26.9,76.1,6.46,19.8,Sandy Loam,Black Gram,19-19-19
10.48,39.79,13.97,24.4,64.6,7.15,13.3,Loamy Sand,Chickpea,19-19-19
70.31,41.43,78.78,29.7,61.4,6.06,22.8,Loam,Mango,15-15-15
101.78,59.7,81.57,25.6,75.2,6.17,46.7,Clay,Mango,15-15-15
11.91,25.93,17.7,29.1,62.8,7.3,10.9,Sandy,Soybean,20-20-0
27.28,31.38,24.16,34.6,71.2,6.91,30.5,Clay Loam,Pigeonpea,20-20-0
25.05,85.06,37.57,26.5,64,6.35,34.6,Clay Loam,Soybean,Urea
85.21,36.39,46.11,23.5,63.4,6.25,33.5,Silt Loam,Brinjal,15-15-15
73.01,23.07,58.37,18.6,71,7.56,11.8,Sandy,Cabbage,Single Super Phosphate
21.45,54.49,17.59,29.5,67,6.5,34.6,Clay Loam,Chickpea,19-19-19
69.8,32.87,23.6,30.1,76.1,6.46,15.5,Sandy Loam,Cotton,Muriate of Potash
39.4,20.52,47.93,21.6,65.1,7.28,9.4,Sandy,Grapes,28-28-0
147.33,73.34,101.19,24.5,74.8,6.66,35.4,Clay,Tomato,15-15-15
79.75,38.26,61.67,30,65.6,6.18,34,Clay Loam,Brinjal,15-15-15
15.43,32.69,25.99,25.9,67.1,6.76,17.8,Sandy Loam,Groundnut,Urea
26.05,44.15,29.72,21.6,59,6.34,37.5,Clay,Lentil,Urea
58.74,39.63,25.64,30.1,72,6.03,18.6,Sandy Loam,Cotton,Muriate of Potash
71.03,37.73,81.96,29.1,62.4,6.74,18.2,Sandy Loam,Mango,15-15-15
95.16,37.13,54.49,25.2,89.9,6.97,44.8,Clay,Rice,15-15-15
62.15,30.49,45.26,33.9,61.6,6.73,26.9,Silt Loam,Okra,17-17-17
107.23,24.59,135.14,24.7,77.1,7.73,11.2,Sandy,Banana,Single Super Phosphate
83.41,42.98,71.07,22.4,61.7,6.13,17.8,Loamy Sand,Tomato,15-15-15
134.27,51.47,36.66,25.4,68.7,6.58,27.4,Loam,Maize,15-15-15
19.3,40.91,23,27.4,62.1,6.31,15,Sandy Loam,Soybean,19-19-19
38.41,32.8,38.85,25.7,51.5,6.01,48,Clay,Sesame,20-20-0
40.31,20.38,31.84,29.1,65.2,6.86,32.3,Clay Loam,Sesame,Single Super Phosphate
11.77,39.66,17.45,33.7,60,6.17,18.9,Sandy Loam,Green Gram,19-19-19
73.57,35.77,29.93,19.1,66,6.22,30.2,Clay Loam,Mustard,Muriate of Potash
27.52,42.97,26.73,20,68.2,6.63,38,Clay Loam,Lentil,Urea
127.77,68.16,105.94,23.3,74.2,6.87,26.1,Silt Loam,Potato,15-15-15
20.49,37.9,16.9,20.1,59.4,6.3,31,Silt Loam,Chickpea,19-19-19
63.36,34.38,21.87,28.8,77,7.5,12.2,Sandy,Maize,Muriate of Potash
25.82,48.9,28.87,27.9,68.6,5.9,46.8,Clay,Green Gram,Urea
131.44,51.08,99.86,24.9,71.1,6.29,35.5,Clay,Tomato,15-15-15
53.19,38.2,21.45,26.3,61.6,7.87,11.3,Sandy,Maize,Muriate of Potash
21.71,11.98,12.04,34.5,58.9,7.68,12.5,Sandy,Sesame,20-20-0
112.18,50.43,112.52,19.9,73.9,5.91,42.1,Clay,Cabbage,15-15-15
10.34,22.66,14.82,25,60.8,7.41,14.4,Sandy,Green Gram,20-20-0
53.02,26.2,26.56,31.2,79.4,6.45,24.7,Loam,Jute,Muriate of Potash
153.33,72.75,58.38,32.5,81.9,6.28,29.6,Silt Loam,Sugarcane,15-15-15
49.87,28.14,43.6,22.8,72.3,6.93,13.7,Sandy,Tomato,20-20-0
98.23,41.79,57.42,26.8,60.7,6.45,24.3,Sandy Loam,Tomato,15-15-15
33.62,27.31,29.5,26.7,55.2,7.51,10.1,Sandy,Sunflower,Muriate of Potash
122.15,54.38,87.68,20,64.4,6.74,35.6,Clay,Chilli,15-15-15
59.78,46.17,99.14,21.6,71.4,6.89,16.4,Loamy Sand,Potato,15-15-15
84.83,32.14,55.2,26.2,77.9,7.47,14.2,Sandy,Sugarcane,Urea
42.05,21.93,21.54,21.5,53.4,6.96,17.9,Loamy Sand,Sunflower,20-20-0
197.57,56.97,262.24,30.4,78,6.17,30.8,Clay Loam,Banana,15-15-15
34.89,20.73,14.52,29.7,66.3,6.1,15.1,Loamy Sand,Sesame,20-20-0
13.19,26.13,28.71,33.6,71.8,6.34,15.1,Loamy Sand,Groundnut,Urea
113.14,52,34.17,28.7,60.2,6.37,20.3,Loam,Maize,15-15-15
60.93,24.17,38.37,27.9,60.9,7.64,14.6,Sandy,Mango,Single Super Phosphate
60.62,27.82,21.12,28.9,85.8,6.6,26,Silt Loam,Jute,Muriate of Potash
67.48,25.68,25.38,26.1,53.3,7.46,13.8,Loamy Sand,Sorghum,Muriate of Potash
97.84,31.26,48.61,16,83.9,6.41,19,Sandy Loam,Cauliflower,15-15-15
12.61,39.71,12.45,28.4,57.4,6.37,19.7,Sandy Loam,Chickpea,19-19-19
23.34,46.23,13.55,26.1,53,6.03,29.7,Loam,Chickpea,19-19-19
92.74,35.52,55.05,16.7,63.7,6.84,23.6,Loam,Onion,15-15-15
81.68,36.73,36.22,17.7,69.3,6.56,28.5,Silt Loam,Wheat,15-15-15
94.02,46.39,103.27,26.9,68,6.99,48.2,Clay,Mango,15-15-15
22.92,53.08,18.06,20.8,50.8,6.21,35.4,Clay Loam,Lentil,19-19-19
92.05,44.84,40.8,30.3,87.4,5.7,46.9,Clay,Jute,15-15-15
117.65,34.62,98.1,29.7,63,6.46,34.8,Silt Loam,Mango,15-15-15
21.93,56.87,33.31,22.9,64.1,6.76,23.9,Loam,Soybean,Urea
